Name,SubCategoryName,Value
Общая площадь,Все квартиры,30.9 м²
Площадь кухни,Все квартиры,7.4 м²
Этаж,Все квартиры,5 из 16
Общая площадь,Все квартиры,86.4 м²
Год постройки,Все квартиры,1996
В доме,Все квартиры," мусоропровод"
Площадь кухни,Все квартиры,14.4 м²
Общая площадь,Все квартиры,41.2 м²
Общая площадь,Все квартиры,57.6 м²
Общая площадь,Все квартиры,46 м²
Этаж,Все квартиры,10 из 25
Общая площадь,Все квартиры,30.6 м²
Общая площадь,Все квартиры,31.5 м²
Общая площадь,Все квартиры,57.4 м²
Общая площадь,Все квартиры,98.5 м²
Площадь кухни,Все квартиры,12.4 м²
Жилая площадь,Все квартиры,68.2 м²
Общая площадь,Все квартиры,57.7 м²
Общая площадь,Все квартиры,26 м²
Высота потолков,Все квартиры,290 м
Общая площадь,Все квартиры,70.3 м²
Жилая площадь,Все квартиры,61.3 м²
Этаж,Все квартиры,16 из 16
Общая площадь,Все квартиры,46.2 м²
Общая площадь,Все квартиры,47.4 м²
Общая площадь,Все квартиры,45.5 м²
Год постройки,Все квартиры,1999
Общая площадь,Все квартиры,44.4 м²
Жилая площадь,Все квартиры,25.7 м²
Общая площадь,Все квартиры,32.8 м²
Общая площадь,Все квартиры,68.9 м²
Этаж,Все квартиры,2 из 14
Площадь кухни,Все квартиры,5.7 м²
Общая площадь,Все квартиры,56.1 м²
Общая площадь,Все квартиры,55.2 м²
Этаж,Все квартиры,7 из 17
Общая площадь,Все квартиры,78.7 м²
Жилая площадь,Все квартиры,55.8 м²
Жилая площадь,Все квартиры,32.8 м²
Общая площадь,Все квартиры,33.8 м²
Этаж,Все квартиры,1 из 8
Общая площадь,Все квартиры,48.8 м²
Жилая площадь,Все квартиры,31.2 м²
Площадь кухни,Все квартиры,29 м²
Общая площадь,Все квартиры,47.7 м²
Площадь кухни,Все квартиры,4 м²
Общая площадь,Все квартиры,84.8 м²
Площадь кухни,Все квартиры,12.3 м²
Жилая площадь,Все квартиры,62.1 м²
Год постройки,Все квартиры,1988
Мебель,Все квартиры,спальные места
Общая площадь,Все квартиры,155 м²
Площадь кухни,Все квартиры,45 м²
Жилая площадь,Все квартиры,90 м²
Площадь кухни,Все квартиры,10.1 м²
Этаж,Все квартиры,16 из 23
Общая площадь,Все квартиры,46.6 м²
Общая площадь,Все квартиры,70.7 м²
Площадь кухни,Все квартиры,15.5 м²
Этаж,Все квартиры,22 из 25
Площадь кухни,Все квартиры,11.2 м²
Этаж,Все квартиры,12 из 25
Жилая площадь,Все квартиры,53.8 м²
Общая площадь,Все квартиры,42.9 м²
Общая площадь,Все квартиры,70 м²
Год постройки,Все квартиры,1956
Общая площадь,Все квартиры,39.3 м²
Год постройки,Все квартиры,1948
Общая площадь,Все квартиры,24.6 м²
Этаж,Все квартиры,4 из 8
Общая площадь,Все квартиры,78 м²
Общая площадь,Все квартиры,63.1 м²
Площадь кухни,Все квартиры,17 м²
Этаж,Все квартиры,14 из 16
Жилая площадь,Все квартиры,34.8 м²
Общая площадь,Все квартиры,68.8 м²
Этаж,Все квартиры,4 из 22
Общая площадь,Все квартиры,130 м²
Общая площадь,Все квартиры,49.2 м²
Жилая площадь,Все квартиры,18.4 м²
Площадь кухни,Все квартиры,13.2 м²
Жилая площадь,Все квартиры,19.6 м²
Этаж,Все квартиры,18 из 24
Жилая площадь,Все квартиры,17.5 м²
Общая площадь,Все квартиры,38.9 м²
Жилая площадь,Все квартиры,15.9 м²
Этаж,Все квартиры,6 из 21
Этажей в доме,Все квартиры,21
Общая площадь,Все квартиры,29.6 м²
Общая площадь,Все квартиры,45.1 м²
Площадь кухни,Все квартиры,11.1 м²
Жилая площадь,Все квартиры,51 м²
Общая площадь,Все квартиры,76.1 м²
Площадь кухни,Все квартиры,8.2 м²
Пассажирский лифт,Все квартиры,4
Грузовой лифт,Все квартиры,4
Площадь кухни,Все квартиры,8.7 м²
Жилая площадь,Все квартиры,42.9 м²
Год постройки,Все квартиры,1938
Этаж,Все квартиры,2 из 7
Этажей в доме,Все квартиры,7
Этаж,Все квартиры,4 из 16
Общая площадь,Все квартиры,71.9 м²
Жилая площадь,Все квартиры,41.5 м²
Общая площадь,Все квартиры,32.3 м²
Общая площадь,Все квартиры,39.5 м²
Общая площадь,Все квартиры,106.7 м²
Общая площадь,Все квартиры,64.2 м²
Общая площадь,Все квартиры,37.5 м²
Площадь кухни,Все квартиры,24 м²
Этаж,Все квартиры,4 из 7
Вид сделки,Все квартиры," аукцион"
Общая площадь,Все квартиры,138 м²
Высота потолков,Все квартиры,4.9 м
Площадь кухни,Все квартиры,5.3 м²
Жилая площадь,Все квартиры,39.3 м²
Общая площадь,Все квартиры,41.5 м²
Общая площадь,Все квартиры,65.9 м²
Этаж,Все квартиры,1 из 25
Общая площадь,Все квартиры,61.2 м²
Общая площадь,Все квартиры,55.1 м²
Этаж,Все квартиры,5 из 19
Общая площадь,Все квартиры,78.5 м²
Жилая площадь,Все квартиры,55.1 м²
Площадь кухни,Все квартиры,18.5 м²
Общая площадь,Все квартиры,63.3 м²
Этаж,Все квартиры,8 из 18
Этаж,Все квартиры,3 из 25
Общая площадь,Все квартиры,50.2 м²
Жилая площадь,Все квартиры,23.3 м²
Этаж,Все квартиры,16 из 22
Этаж,Все квартиры,32 из 37
Высота потолков,Все квартиры,3.1 м
Этажей в доме,Все квартиры,37
Общая площадь,Все квартиры,33.1 м²
Общая площадь,Все квартиры,67.7 м²
Этаж,Все квартиры,3 из 16
Общая площадь,Все квартиры,67.4 м²
Год постройки,Все квартиры,2004
Жилая площадь,Все квартиры,45.5 м²
Этаж,Все квартиры,6 из 14
Общая площадь,Все квартиры,34.4 м²
Этаж,Все квартиры,1 из 11
Год постройки,Все квартиры,0
Общая площадь,Все квартиры,101.6 м²
Площадь кухни,Все квартиры,29.2 м²
Жилая площадь,Все квартиры,46.3 м²
Высота потолков,Все квартиры,2.1 м
Общая площадь,Все квартиры,69.5 м²
Площадь кухни,Все квартиры,12.2 м²
Общая площадь,Все квартиры,58.1 м²
Площадь кухни,Все квартиры,8.4 м²
Общая площадь,Все квартиры,21 м²
Общая площадь,Все квартиры,45.3 м²
Этаж,Все квартиры,17 из 18
Общая площадь,Все квартиры,51.8 м²
Этаж,Все квартиры,2 из 4
Общая площадь,Все квартиры,106 м²
Жилая площадь,Все квартиры,63 м²
Общая площадь,Все квартиры,44.8 м²
Общая площадь,Все квартиры,60.6 м²
Жилая площадь,Все квартиры,28.9 м²
Общая площадь,Все квартиры,42.4 м²
Общая площадь,Все квартиры,78.6 м²
Жилая площадь,Все квартиры,48.7 м²
Общая площадь,Все квартиры,52.8 м²
Общая площадь,Все квартиры,60.1 м²
Жилая площадь,Все квартиры,37.7 м²
Общая площадь,Все квартиры,75.7 м²
Жилая площадь,Все квартиры,47 м²
Общая площадь,Все квартиры,59.9 м²
Год постройки,Все квартиры,1859
Жилая площадь,Все квартиры,30.9 м²
Этаж,Все квартиры,3 из 8
Общая площадь,Все квартиры,50.4 м²
Площадь кухни,Все квартиры,12.7 м²
Этаж,Все квартиры,9 из 14
Общая площадь,Все квартиры,85.1 м²
Общая площадь,Все квартиры,41.1 м²
Этаж,Все квартиры,6 из 23
Этаж,Все квартиры,4 из 18
Общая площадь,Все квартиры,73.8 м²
Общая площадь,Все квартиры,60.2 м²
Общая площадь,Все квартиры,55.6 м²
Площадь кухни,Все квартиры,11.6 м²
Жилая площадь,Все квартиры,38.3 м²
Общая площадь,Все квартиры,61.9 м²
Общая площадь,Все квартиры,72.6 м²
Общая площадь,Все квартиры,33.6 м²
Общая площадь,Все квартиры,63.8 м²
Этаж,Все квартиры,3 из 19
Площадь кухни,Все квартиры,21.5 м²
Жилая площадь,Все квартиры,34.7 м²
Площадь кухни,Все квартиры,7.7 м²
Общая площадь,Все квартиры,69.8 м²
Площадь кухни,Все квартиры,14.2 м²
Жилая площадь,Все квартиры,47.3 м²
Этаж,Все квартиры,7 из 11
Этаж,Все квартиры,11 из 17
Название новостройки,Все квартиры,ЖК «Авиатор»
"Корпус, строение",Все квартиры,Дом 4
Срок сдачи,Все квартиры,Сдача в 4 кв. 2024
Общая площадь,Все квартиры,27.3 м²
Общая площадь,Все квартиры,28.9 м²
Общая площадь,Все квартиры,98.4 м²
Год постройки,Все квартиры,2003
Общая площадь,Все квартиры,83.5 м²
Этаж,Все квартиры,3 из 7
Общая площадь,Все квартиры,47.2 м²
Общая площадь,Все квартиры,141.8 м²
Жилая площадь,Все квартиры,71.5 м²
Общая площадь,Все квартиры,44.2 м²
Жилая площадь,Все квартиры,28.3 м²
Общая площадь,Все квартиры,92 м²
Площадь кухни,Все квартиры,26 м²
Общая площадь,Все квартиры,47.3 м²
Общая площадь,Все квартиры,90 м²
Этаж,Все квартиры,21 из 22
Высота потолков,Все квартиры,265 м
Общая площадь,Все квартиры,40.6 м²
Жилая площадь,Все квартиры,46.4 м²
Этаж,Все квартиры,11 из 14
Общая площадь,Все квартиры,104 м²
Жилая площадь,Все квартиры,71 м²
Жилая площадь,Все квартиры,25.4 м²
Общая площадь,Все квартиры,56.7 м²
Этаж,Все квартиры,13 из 19
Общая площадь,Все квартиры,81.9 м²
Этаж,Все квартиры,11 из 37
Этаж,Все квартиры,11 из 12
Этаж,Все квартиры,9 из 23
Общая площадь,Все квартиры,76.4 м²
Этаж,Все квартиры,13 из 26
Площадь кухни,Все квартиры,6.1 м²
Жилая площадь,Все квартиры,42.4 м²
Этаж,Все квартиры,1 из 23
Общая площадь,Все квартиры,152 м²
Площадь кухни,Все квартиры,60 м²
Общая площадь,Все квартиры,135.6 м²
Этаж,Все квартиры,13 из 16
Общая площадь,Все квартиры,96 м²
Площадь кухни,Все квартиры,16.4 м²
Жилая площадь,Все квартиры,57 м²
Этаж,Все квартиры,13 из 21
Название новостройки,Все квартиры,ЖК «Зеленая горка»
Общая площадь,Все квартиры,58.3 м²
Общая площадь,Все квартиры,82.2 м²
Общая площадь,Все квартиры,53.2 м²
Жилая площадь,Все квартиры,19.4 м²
Этаж,Все квартиры,7 из 20
Название новостройки,Все квартиры,ЖК на ул. Тархова
"Корпус, строение",Все квартиры,Дом 29Б
Срок сдачи,Все квартиры,Сдан 4 кв. 2016
Этажей в доме,Все квартиры,20
Общая площадь,Все квартиры,91.9 м²
Этаж,Все квартиры,12 из 19
Площадь кухни,Все квартиры,14.5 м²
Жилая площадь,Все квартиры,22.4 м²
Общая площадь,Все квартиры,55.8 м²
Общая площадь,Все квартиры,57.8 м²
Общая площадь,Все квартиры,28.6 м²
Общая площадь,Все квартиры,53.5 м²
Площадь кухни,Все квартиры,5.4 м²
Жилая площадь,Все квартиры,35.1 м²
Год постройки,Все квартиры,1950
Общая площадь,Все квартиры,85.5 м²
Площадь кухни,Все квартиры,16.5 м²
Этаж,Все квартиры,9 из 22
Общая площадь,Все квартиры,54.2 м²
Год постройки,Все квартиры,1960
Общая площадь,Все квартиры,117 м²
Жилая площадь,Все квартиры,70 м²
Этаж,Все квартиры,8 из 22
Общая площадь,Все квартиры,69.9 м²
Общая площадь,Все квартиры,61.3 м²
Общая площадь,Все квартиры,48.2 м²
Общая площадь,Все квартиры,62.8 м²
Жилая площадь,Все квартиры,50.4 м²
Общая площадь,Все квартиры,59.5 м²
Площадь кухни,Все квартиры,15.8 м²
Площадь кухни,Все квартиры,8.1 м²
Жилая площадь,Все квартиры,19.8 м²
Общая площадь,Все квартиры,47.5 м²
Этаж,Все квартиры,14 из 23
Общая площадь,Все квартиры,25.1 м²
Общая площадь,Все квартиры,146 м²
Площадь кухни,Все квартиры,23.4 м²
Жилая площадь,Все квартиры,82 м²
Общая площадь,Все квартиры,40.8 м²
Общая площадь,Все квартиры,72.3 м²
Жилая площадь,Все квартиры,50.7 м²
Общая площадь,Все квартиры,114.4 м²
Общая площадь,Все квартиры,24.7 м²
Год постройки,Все квартиры,1957
Этаж,Все квартиры,7 из 22
Общая площадь,Все квартиры,74 м²
Общая площадь,Все квартиры,50.5 м²
Жилая площадь,Все квартиры,27.8 м²
Общая площадь,Все квартиры,61.5 м²
Жилая площадь,Все квартиры,29.1 м²
Этаж,Все квартиры,1 из 17
Общая площадь,Все квартиры,44.7 м²
Жилая площадь,Все квартиры,16.7 м²
Этаж,Все квартиры,1 из 6
Общая площадь,Все квартиры,80.6 м²
Площадь кухни,Все квартиры,19.4 м²
Жилая площадь,Все квартиры,40.2 м²
Общая площадь,Все квартиры,39.9 м²
Этаж,Все квартиры,13 из 14
Жилая площадь,Все квартиры,55.7 м²
Этаж,Все квартиры,7 из 14
Жилая площадь,Все квартиры,24.1 м²
Общая площадь,Все квартиры,53.4 м²
Способ продажи,Все квартиры,договор ЖСК
Название новостройки,Все квартиры,ЖСК «Динамовский»
"Корпус, строение",Все квартиры,2 Этап
Срок сдачи,Все квартиры,Сдача в 2 кв. 2024
Общая площадь,Все квартиры,46.5 м²
Общая площадь,Все квартиры,74.3 м²
Жилая площадь,Все квартиры,18.8 м²
Жилая площадь,Все квартиры,38.8 м²
Этаж,Все квартиры,1 из 19
Общая площадь,Все квартиры,186.1 м²
Общая площадь,Все квартиры,79.8 м²
Жилая площадь,Все квартиры,36.5 м²
Общая площадь,Все квартиры,28.1 м²
Общая площадь,Все квартиры,65.5 м²
Общая площадь,Все квартиры,84 м²
Этаж,Все квартиры,6 из 7
Срок сдачи,Все квартиры,Сдан 3 кв. 2022
Общая площадь,Все квартиры,63.7 м²
Этаж,Все квартиры,7 из 16
Этаж,Все квартиры,18 из 22
Общая площадь,Все квартиры,72.8 м²
Этаж,Все квартиры,9 из 19
Жилая площадь,Все квартиры,36.6 м²
Площадь кухни,Все квартиры,11.9 м²
Общая площадь,Все квартиры,28.2 м²
Год постройки,Все квартиры,1941
Этаж,Все квартиры,2 из 8
Жилая площадь,Все квартиры,14.8 м²
Этаж,Все квартиры,5 из 23
Жилая площадь,Все квартиры,36.4 м²
Площадь кухни,Все квартиры,19.1 м²
Жилая площадь,Все квартиры,9.2 м²
Жилая площадь,Все квартиры,39.5 м²
Общая площадь,Все квартиры,35.5 м²
Общая площадь,Все квартиры,48.4 м²
Общая площадь,Все квартиры,58.7 м²
Общая площадь,Все квартиры,35.6 м²
Площадь кухни,Все квартиры,25.2 м²
Жилая площадь,Все квартиры,52.5 м²
Общая площадь,Все квартиры,59.6 м²
Этаж,Все квартиры,4 из 15
Общая площадь,Все квартиры,89 м²
Этаж,Все квартиры,25 из 25
Этаж,Все квартиры,11 из 16
Общая площадь,Все квартиры,56.2 м²
Этаж,Все квартиры,10 из 21
Жилая площадь,Все квартиры,27.7 м²
Общая площадь,Все квартиры,52.4 м²
Жилая площадь,Все квартиры,38.7 м²
Жилая площадь,Все квартиры,58 м²
Этаж,Все квартиры,14 из 17
Общая площадь,Все квартиры,83.2 м²
Высота потолков,Все квартиры,2550 м
Общая площадь,Все квартиры,69 м²
Площадь кухни,Все квартиры,50 м²
Жилая площадь,Все квартиры,9 м²
Тип дома,Все квартиры,деревянный
Этаж,Все квартиры,4 из 21
Этаж,Все квартиры,7 из 7
Общая площадь,Все квартиры,45.7 м²
Общая площадь,Все квартиры,34.6 м²
Жилая площадь,Все квартиры,16.3 м²
Жилая площадь,Все квартиры,16.2 м²
Этаж,Все квартиры,20 из 25
Общая площадь,Все квартиры,31.9 м²
Жилая площадь,Все квартиры,28.2 м²
Общая площадь,Все квартиры,49.3 м²
Жилая площадь,Все квартиры,18.9 м²
Общая площадь,Все квартиры,43.6 м²
Общая площадь,Все квартиры,72.4 м²
Жилая площадь,Все квартиры,53 м²
Общая площадь,Все квартиры,86.2 м²
Площадь кухни,Все квартиры,32.8 м²
Жилая площадь,Все квартиры,28.5 м²
Вид сделки,Все квартиры,продажа доли
Жилая площадь,Все квартиры,50.1 м²
Общая площадь,Все квартиры,68.3 м²
Этаж,Все квартиры,1 из 7
Общая площадь,Все квартиры,34.5 м²
Общая площадь,Все квартиры,73.3 м²
Общая площадь,Все квартиры,89.8 м²
Площадь кухни,Все квартиры,33 м²
Жилая площадь,Все квартиры,17.6 м²
Название новостройки,Все квартиры,ЖК «На Благодатной»
Срок сдачи,Все квартиры,Сдача в 4 кв. 2024 — 2 кв. 2025
Общая площадь,Все квартиры,26.6 м²
Жилая площадь,Все квартиры,31.3 м²
Общая площадь,Все квартиры,42.6 м²
Общая площадь,Все квартиры,29.2 м²
Общая площадь,Все квартиры,65.6 м²
Жилая площадь,Все квартиры,37.6 м²
Общая площадь,Все квартиры,39.6 м²
Жилая площадь,Все квартиры,16.1 м²
Общая площадь,Все квартиры,108.9 м²
Площадь кухни,Все квартиры,14.8 м²
Жилая площадь,Все квартиры,74 м²
Общая площадь,Вторичка,187 м²
Площадь кухни,Вторичка,19 м²
Жилая площадь,Вторичка,24 м²
Площадь кухни,Вторичка,18.9 м²
Общая площадь,Вторичка,69.7 м²
Общая площадь,Новостройки,24.8 м²
Этаж,Новостройки,1 из 18
Этаж,Новостройки,11 из 18
Этаж,Новостройки,12 из 18
Общая площадь,Новостройки,25.4 м²
Этаж,Новостройки,14 из 18
Этаж,Новостройки,18 из 18
Этаж,Новостройки,9 из 18
Общая площадь,Новостройки,24.4 м²
Этаж,Новостройки,15 из 18
Этаж,Новостройки,6 из 18
Количество комнат,"Дома, дачи, коттеджи",6
Площадь дома,"Дома, дачи, коттеджи",78 м²
Площадь участка,"Дома, дачи, коттеджи",8 сот.
Категория земель,"Дома, дачи, коттеджи",индивидуальное жилищное строительство (ИЖС)
Материал стен,"Дома, дачи, коттеджи",кирпич
Санузел,"Дома, дачи, коттеджи",в доме
Парковка,"Дома, дачи, коттеджи",парковочное место
Транспортная доступность,"Дома, дачи, коттеджи",асфальтированная дорога
Транспортная доступность,"Дома, дачи, коттеджи"," остановка общественного транспорта"
Инфраструктура,"Дома, дачи, коттеджи",магазин
Инфраструктура,"Дома, дачи, коттеджи"," аптека"
Инфраструктура,"Дома, дачи, коттеджи"," детский сад"
Инфраструктура,"Дома, дачи, коттеджи"," школа"
Способ продажи,"Дома, дачи, коттеджи",возможна ипотека
Расстояние до центра города,"Дома, дачи, коттеджи",17 км
Площадь дома,"Дома, дачи, коттеджи",57 м²
Площадь участка,"Дома, дачи, коттеджи",4 сот.
Материал стен,"Дома, дачи, коттеджи",брус
Электричество,"Дома, дачи, коттеджи",есть
Отопление,"Дома, дачи, коттеджи",центральное
Водоснабжение,"Дома, дачи, коттеджи",центральное
Газ,"Дома, дачи, коттеджи",в доме
Канализация,"Дома, дачи, коттеджи",центральная
Количество комнат,"Дома, дачи, коттеджи",5
Площадь дома,"Дома, дачи, коттеджи",144 м²
Площадь участка,"Дома, дачи, коттеджи",6.8 сот.
Материал стен,"Дома, дачи, коттеджи",сэндвич-панели
Терраса или веранда,"Дома, дачи, коттеджи",есть
Газ,"Дома, дачи, коттеджи",по границе участка
Расстояние до центра города,"Дома, дачи, коттеджи",12 км
Площадь дома,"Дома, дачи, коттеджи",130 м²
Площадь участка,"Дома, дачи, коттеджи",9 сот.
Интернет и ТВ,"Дома, дачи, коттеджи",Wi-Fi
Интернет и ТВ,"Дома, дачи, коттеджи"," телевидение"
Площадь дома,"Дома, дачи, коттеджи",116 м²
Водоснабжение,"Дома, дачи, коттеджи",скважина
Канализация,"Дома, дачи, коттеджи",выгребная яма
Транспортная доступность,"Дома, дачи, коттеджи"," железнодорожная станция"
Площадь дома,"Дома, дачи, коттеджи",105 м²
Площадь участка,"Дома, дачи, коттеджи",10.5 сот.
Категория земель,"Дома, дачи, коттеджи",садовое некоммерческое товарищество (СНТ)
Расстояние до центра города,"Дома, дачи, коттеджи",13 км
Количество комнат,"Дома, дачи, коттеджи",Свободная планировка
Площадь дома,"Дома, дачи, коттеджи",242 м²
Площадь участка,"Дома, дачи, коттеджи",7.8 сот.
Отопление,"Дома, дачи, коттеджи",газовое
Парковка,"Дома, дачи, коттеджи",гараж
Расстояние до центра города,"Дома, дачи, коттеджи",18 км
Площадь дома,"Дома, дачи, коттеджи",158 м²
Площадь дома,"Дома, дачи, коттеджи",140 м²
Площадь участка,"Дома, дачи, коттеджи",4.8 сот.
Расстояние до центра города,"Дома, дачи, коттеджи",15 км
Площадь дома,"Дома, дачи, коттеджи",137.6 м²
Площадь дома,"Дома, дачи, коттеджи",80 м²
Площадь участка,"Дома, дачи, коттеджи",5 сот.
Отопление,"Дома, дачи, коттеджи",электрическое
Газ,"Дома, дачи, коттеджи",нет
Площадь дома,"Дома, дачи, коттеджи",122 м²
Площадь участка,"Дома, дачи, коттеджи",10 сот.
Площадь дома,"Дома, дачи, коттеджи",138 м²
Площадь дома,"Дома, дачи, коттеджи",100 м²
Площадь участка,"Дома, дачи, коттеджи",6.5 сот.
Интернет и ТВ,"Дома, дачи, коттеджи",телевидение
Площадь дома,"Дома, дачи, коттеджи",42 м²
Площадь участка,"Дома, дачи, коттеджи",7.2 сот.
Канализация,"Дома, дачи, коттеджи",септик
Площадь дома,"Дома, дачи, коттеджи",138.6 м²
Площадь участка,"Дома, дачи, коттеджи",3 сот.
Год постройки,"Дома, дачи, коттеджи",1952
Способ продажи,"Дома, дачи, коттеджи",продажа доли
Площадь дома,"Дома, дачи, коттеджи",177 м²
Площадь участка,"Дома, дачи, коттеджи",6 сот.
Материал стен,"Дома, дачи, коттеджи",пеноблоки
Площадь дома,"Дома, дачи, коттеджи",81 м²
Для отдыха,"Дома, дачи, коттеджи",баня или сауна
Материал стен,"Дома, дачи, коттеджи",газоблоки
Расстояние до центра города,"Дома, дачи, коттеджи",19 км
Площадь дома,"Дома, дачи, коттеджи",70.7 м²
Площадь дома,"Дома, дачи, коттеджи",40 м²
Санузел,"Дома, дачи, коттеджи",на улице
Коммуникации,"Дома, дачи, коттеджи",электричество
Расстояние до центра города,"Дома, дачи, коттеджи",31 км
Площадь дома,"Дома, дачи, коттеджи",76 м²
Площадь участка,"Дома, дачи, коттеджи",4.5 сот.
Для отдыха,"Дома, дачи, коттеджи"," бассейн"
Площадь дома,"Дома, дачи, коттеджи",84.8 м²
Год постройки,"Дома, дачи, коттеджи",1945
Площадь дома,"Дома, дачи, коттеджи",110 м²
Площадь дома,"Дома, дачи, коттеджи",104 м²
Площадь участка,"Дома, дачи, коттеджи",5.3 сот.
Площадь дома,"Дома, дачи, коттеджи",204 м²
Площадь дома,"Дома, дачи, коттеджи",45 м²
Площадь участка,"Дома, дачи, коттеджи",7.9 сот.
Расстояние до центра города,"Дома, дачи, коттеджи",27 км
Площадь дома,"Дома, дачи, коттеджи",154 м²
Площадь участка,"Дома, дачи, коттеджи",2.5 сот.
Площадь участка,"Дома, дачи, коттеджи",9.6 сот.
Площадь участка,"Дома, дачи, коттеджи",4.7 сот.
Площадь дома,"Дома, дачи, коттеджи",62.8 м²
Площадь участка,"Дома, дачи, коттеджи",2.2 сот.
Отопление,"Дома, дачи, коттеджи"," электрическое"
Площадь дома,"Дома, дачи, коттеджи",34.6 м²
Площадь участка,"Дома, дачи, коттеджи",1 сот.
Отопление,"Дома, дачи, коттеджи"," печь"
Площадь дома,"Дома, дачи, коттеджи",108.5 м²
Площадь участка,"Дома, дачи, коттеджи",2 сот.
Отопление,"Дома, дачи, коттеджи"," газовое"
Расстояние до центра города,"Дома, дачи, коттеджи",14 км
Площадь дома,"Дома, дачи, коттеджи",103 м²
Площадь участка,"Дома, дачи, коттеджи",6.2 сот.
Площадь дома,"Дома, дачи, коттеджи",234 м²
Парковка,"Дома, дачи, коттеджи",нет
Площадь дома,"Дома, дачи, коттеджи",126 м²
Площадь дома,"Дома, дачи, коттеджи",65.1 м²
Площадь участка,"Дома, дачи, коттеджи",2.3 сот.
Площадь дома,"Дома, дачи, коттеджи",240 м²
Расстояние до центра города,"Дома, дачи, коттеджи",16 км
Площадь дома,"Дома, дачи, коттеджи",102 м²
Площадь дома,"Дома, дачи, коттеджи",150.8 м²
Площадь участка,"Дома, дачи, коттеджи",9.5 сот.
Отопление,"Дома, дачи, коттеджи"," камин"
Площадь участка,"Дома, дачи, коттеджи",5.5 сот.
Коммуникации,"Дома, дачи, коттеджи"," отопление"
Площадь дома,"Дома, дачи, коттеджи",107 м²
Площадь участка,"Дома, дачи, коттеджи",15 сот.
Площадь дома,"Дома, дачи, коттеджи",207.4 м²
Канализация,"Дома, дачи, коттеджи",станция биоочистки
Площадь дома,"Дома, дачи, коттеджи",130.1 м²
Площадь комнаты,Комнаты,13 м²
Комнат в квартире,Комнаты,5
Тип дома,Комнаты,Кирпичный
Площадь комнаты,Комнаты,13.7 м²
Площадь комнаты,Комнаты,12.3 м²
Комнат в квартире,Комнаты,2
Площадь комнаты,Комнаты,12 м²
Комнат в квартире,Комнаты,4
Площадь комнаты,Комнаты,20 м²
Комнат в квартире,Комнаты,6
Площадь комнаты,Комнаты,9 м²
Площадь комнаты,Комнаты,19.2 м²
Комнат в квартире,Комнаты,> 9
Площадь комнаты,Комнаты,18.1 м²
Площадь комнаты,Комнаты,30 м²
Комнат в квартире,Комнаты,8
Площадь комнаты,Комнаты,7.4 м²
Площадь комнаты,Комнаты,15.5 м²
Площадь комнаты,Комнаты,11 м²
Комнат в квартире,Комнаты,3
Площадь комнаты,Комнаты,10 м²
Комнат в квартире,Комнаты,1
Площадь комнаты,Комнаты,17 м²
Тип дома,Комнаты,Панельный
Площадь комнаты,Комнаты,17.5 м²
Площадь комнаты,Комнаты,13.2 м²
Площадь комнаты,Комнаты,26 м²
Площадь комнаты,Комнаты,9.3 м²
Площадь комнаты,Комнаты,20.6 м²
Площадь комнаты,Комнаты,18.6 м²
Площадь комнаты,Комнаты,14.7 м²
Комнат в квартире,Комнаты,7
Площадь комнаты,Комнаты,18 м²
Площадь комнаты,Комнаты,11.8 м²
Площадь комнаты,Комнаты,24.5 м²
Площадь комнаты,Комнаты,12.5 м²
Площадь комнаты,Комнаты,19 м²
Площадь комнаты,Комнаты,22.7 м²
Комнат в квартире,Комнаты,9
Площадь комнаты,Комнаты,25 м²
Площадь комнаты,Комнаты,13.4 м²
Площадь комнаты,Комнаты,22 м²
Площадь комнаты,Комнаты,21 м²
Этаж,Комнаты,6 из 17
Тип дома,Комнаты,Монолитный
Площадь комнаты,Комнаты,13.5 м²
Площадь комнаты,Комнаты,15 м²
Площадь комнаты,Комнаты,14 м²
Площадь комнаты,Комнаты,18.9 м²
Кровати,Квартиры,1 двуспальная
Техника,Квартиры," плита"
Техника,Квартиры," микроволновка"
Техника,Квартиры," телевизор"
Комфорт,Квартиры,постельное белье
Комфорт,Квартиры," полотенца"
Комфорт,Квартиры," средства гигиены"
Залог,Квартиры,2000 ₽
Возможна помесячная аренда,Квартиры,Нет
Заезд после,Квартиры,14
Выезд до,Квартиры,12
Количество гостей,Квартиры,2
Можно с детьми,Квартиры,да
Можно с животными,Квартиры,да
Можно курить,Квартиры,нет
Разрешены вечеринки,Квартиры,нет
Есть отчётные документы,Квартиры,да
Парковка,Квартиры,на улице
Техника,Квартиры," фен"
Техника,Квартиры," утюг"
Возможна помесячная аренда,Квартиры,Да
Можно с детьми,Квартиры,нет
Можно с животными,Квартиры,нет
Можно курить,Квартиры,да
Парковка,Квартиры," бесплатно для гостей"
Кровати,Квартиры," 1 диван-кровать"
Этаж,Квартиры,16 из 25
Залог,Квартиры,1000 ₽
Заезд после,Квартиры,не указано
Выезд до,Квартиры,не указано
Есть отчётные документы,Квартиры,нет
Кровати,Квартиры,1 диван-кровать
Кровати,Квартиры," 1 особо широкая"
Количество гостей,Квартиры,5
Этаж,Квартиры,9 из 12
Количество гостей,Квартиры,4
Кровати,Квартиры,3 односпальных
Общая площадь,Квартиры,20 м²
Заезд после,Квартиры,21
Количество гостей,Квартиры,3
Заезд после,Квартиры,13
Залог,Квартиры,3000 ₽
Кровати,Квартиры," 1 полуторная"
